evolution_tree_id,pokemon_form_id,text_markup,text_html,grid_column,grid_row
1,1,,,1,1
1,2,{Lv. 16;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 16</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
1,3,{Lv. 32;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 32</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",3,1
2,6,,,1,1
2,7,{Lv. 16;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 16</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
2,8,{Lv. 36;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 36</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",3,1
3,12,,,1,1
3,13,{Lv. 16;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 16</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
3,14,{Lv. 36;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 36</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",3,1
4,16,,,1,1
4,17,{Lv. 7;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 7</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
4,18,{Lv. 10;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 10</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",3,1
5,19,,,1,1
5,20,{Lv. 7;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 7</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
5,21,{Lv. 10;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 10</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",3,1
6,23,,,1,1
6,24,{Lv. 18;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 18</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
6,25,{Lv. 36;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 36</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",3,1
7,27,,,1,1
7,28,,,1,2
7,29,{Lv. 20;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 20</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
7,30,{Lv. 20;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 20</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,2
8,31,,,1,1
8,32,{Lv. 20;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 20</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
9,33,,,1,1
9,34,{Lv. 22;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 22</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
10,226,,,1,1 / span 2
10,35,{Lv. Up;ITEM;rare-candy} with high friendship,"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. Up</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a> with high friendship",2,1 / span 2
10,36,{Thunder Stone;ITEM;thunder-stone} outside of Alola,"<a href=""/items/thunder-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Thunder Stone</span><img src=""https://cdn.pokedb.org/c64cc6584539e36f1e5d9b9279e58937ad9026f3105a1422f5086c15b735d2f7w20h20"" width=""20"" height=""20"" alt=""Item Icon for Thunder Stone"" style=""width: 20px; height: 20px""></a> outside of Alola",3,1
10,37,{Thunder Stone;ITEM;thunder-stone} in Alola,"<a href=""/items/thunder-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Thunder Stone</span><img src=""https://cdn.pokedb.org/c64cc6584539e36f1e5d9b9279e58937ad9026f3105a1422f5086c15b735d2f7w20h20"" width=""20"" height=""20"" alt=""Item Icon for Thunder Stone"" style=""width: 20px; height: 20px""></a> in Alola",3,2
11,38,,,1,1
53,155,,,1,1
54,157,,,1,1
11,40,{Lv. 22;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 22</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
11,39,,,1,2
11,41,{Ice Stone;ITEM;ice-stone},"<a href=""/items/ice-stone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Ice Stone</span><img src=""https://cdn.pokedb.org/708b3dd3236a71c0a373d6903488f91f31f81eae9556649b46cadbb41afc3bcdw20h20"" width=""20"" height=""20"" alt=""Item Icon for Ice Stone"" style=""width: 20px; height: 20px""></a>",2,2
12,42,,,1,1
12,43,{Lv. 16;ITEM;rare-candy},"<a href=""/items/rare-candy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lv. 16</span><img src=""https://cdn.pokedb.org/9494f55be4a8eee84a7535bb018a01a8bb4f81fa42a32b3ff9ffab20db71a085w20h20"" width=""20"" height=""20"" alt=""Item Icon for Rare Candy"" style=""width: 20px; height: 20px""></a>",2,1
