pokemon_form_tree_id,pokemon_form_id,transition_grid_position,transition_grid_text_markup,transition_grid_text_html,text_top_markup,text_top_html,text_bottom_markup,text_bottom_html,grid_column,grid_row
1,3,,,,,,,,2,1
1,4,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Venusaurite;ITEM;venusaurite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/venusaurite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Venusaurite</span><img src=""https://cdn.pokedb.org/962567a47a37ab587976347c0d7ce29eb0c03fd5f3fed6698c7dbfe276bd3e14w20h20"" width=""20"" height=""20"" alt=""Item Icon for Venusaurite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Venusaurite;ITEM;venusaurite},"While holding <a href=""/items/venusaurite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Venusaurite</span><img src=""https://cdn.pokedb.org/962567a47a37ab587976347c0d7ce29eb0c03fd5f3fed6698c7dbfe276bd3e14w20h20"" width=""20"" height=""20"" alt=""Item Icon for Venusaurite"" style=""width: 20px; height: 20px""></a>",,,3,1
1,5,right,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Dynamax Band;ITEM;dynamax-band}</span>
  <span>{-;MISC;PLUS}</span>
  <span>{Gigantamax Factor;MISC;GIGANTAMAXFACTOR}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/dynamax-band"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dynamax Band</span><img src=""https://cdn.pokedb.org/a68508ad627362373ffd1ee0b3f07dc45b5e367c90559ff295217a6864275871w20h20"" width=""20"" height=""20"" alt=""Item Icon for Dynamax Band"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/plus.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Gigantamax Factor</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/gigantamax_factor.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",Lasts three turns,Lasts three turns,,,1,1
2,8,,,,,,,,1,1 / span 3
2,9,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Charizardite X;ITEM;charizardite-x}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/charizardite-x"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Charizardite X</span><img src=""https://cdn.pokedb.org/f70a8940d5355d103d585eca99dc80cf96d9b473b4948e95ab626755171e4208w20h20"" width=""20"" height=""20"" alt=""Item Icon for Charizardite X"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Charizardite X;ITEM;charizardite-x},"While holding <a href=""/items/charizardite-x"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Charizardite X</span><img src=""https://cdn.pokedb.org/f70a8940d5355d103d585eca99dc80cf96d9b473b4948e95ab626755171e4208w20h20"" width=""20"" height=""20"" alt=""Item Icon for Charizardite X"" style=""width: 20px; height: 20px""></a>",,,2,1
2,10,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Charizardite Y;ITEM;charizardite-y}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/charizardite-y"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Charizardite Y</span><img src=""https://cdn.pokedb.org/c69f69b2a734b1649ae368c7c252a0164dd6b077140ddf95ebfa70925a2e82b5w20h20"" width=""20"" height=""20"" alt=""Item Icon for Charizardite Y"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Charizardite Y;ITEM;charizardite-y},"While holding <a href=""/items/charizardite-y"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Charizardite Y</span><img src=""https://cdn.pokedb.org/c69f69b2a734b1649ae368c7c252a0164dd6b077140ddf95ebfa70925a2e82b5w20h20"" width=""20"" height=""20"" alt=""Item Icon for Charizardite Y"" style=""width: 20px; height: 20px""></a>",,,2,2
2,11,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Dynamax Band;ITEM;dynamax-band}</span>
  <span>{-;MISC;PLUS}</span>
  <span>{Gigantamax Factor;MISC;GIGANTAMAXFACTOR}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/dynamax-band"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dynamax Band</span><img src=""https://cdn.pokedb.org/a68508ad627362373ffd1ee0b3f07dc45b5e367c90559ff295217a6864275871w20h20"" width=""20"" height=""20"" alt=""Item Icon for Dynamax Band"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/plus.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Gigantamax Factor</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/gigantamax_factor.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",Lasts three turns,Lasts three turns,,,2,3
3,14,,,,,,,,2,1
16,172,,,,Found in Both,Found in Both,Breeding regular Tauros without an {Everstone;ITEM;everstone} will always produce a Combat Breed Tauros,"Breeding regular Tauros without an <a href=""/items/everstone"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Everstone</span><img src=""https://cdn.pokedb.org/01ce13b78530d3b1a6bf0148a3dac57eeb45bb2712039044c0eec8d930de7f7cw20h20"" width=""20"" height=""20"" alt=""Item Icon for Everstone"" style=""width: 20px; height: 20px""></a> will always produce a Combat Breed Tauros",4,1
17,176,,,,,,,,1,1
3,15,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Blastoisinite;ITEM;blastoisinite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/blastoisinite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Blastoisinite</span><img src=""https://cdn.pokedb.org/ccba2739d66b8c387441fc864d27a04aea76d4fefdf38a3f313a26297adab66bw20h20"" width=""20"" height=""20"" alt=""Item Icon for Blastoisinite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Blastoisinite X;ITEM;blastoisinite},"While holding <a href=""/items/blastoisinite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Blastoisinite X</span><img src=""https://cdn.pokedb.org/ccba2739d66b8c387441fc864d27a04aea76d4fefdf38a3f313a26297adab66bw20h20"" width=""20"" height=""20"" alt=""Item Icon for Blastoisinite"" style=""width: 20px; height: 20px""></a>",,,3,1
3,1297,right,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Dynamax Band;ITEM;dynamax-band}</span>
  <span>{-;MISC;PLUS}</span>
  <span>{Gigantamax Factor;MISC;GIGANTAMAXFACTOR}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/dynamax-band"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dynamax Band</span><img src=""https://cdn.pokedb.org/a68508ad627362373ffd1ee0b3f07dc45b5e367c90559ff295217a6864275871w20h20"" width=""20"" height=""20"" alt=""Item Icon for Dynamax Band"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/plus.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Gigantamax Factor</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/gigantamax_factor.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",Lasts three turns,Lasts three turns,,,1,1
4,18,,,,,,,,1,1
